d
Received: d
Kp: 1405.9670
Ki: 1.8046
Kd: 0.0010
timestamp,target,current,error,dT,iTerm,dTerm,KpValue,KiValue,KdValue,output
4554.000,-6.000,-1.454,-4.546,7.000,-31.823,0.208,-639.178,-0.574,0.000,-639.753
4564.000,-6.000,-1.655,-4.345,10.000,-75.276,0.020,-610.936,-1.358,0.000,-612.294
4574.000,-6.000,-1.807,-4.193,10.000,-117.207,0.015,-589.528,-2.115,0.000,-591.643
4584.000,-6.000,-2.024,-3.976,10.000,-156.970,0.022,-559.052,-2.833,0.000,-561.885
4594.000,-6.000,-2.290,-3.710,10.000,-194.066,0.027,-521.559,-3.502,0.000,-525.061
4604.000,-6.000,-2.998,-3.002,10.000,-224.088,0.071,-422.098,-4.044,0.000,-426.142
4614.000,-6.000,-3.896,-2.104,10.000,-245.125,0.090,-295.776,-4.424,0.000,-300.199
4624.000,-6.000,-4.637,-1.363,10.000,-258.757,0.074,-191.668,-4.670,0.000,-196.338
4634.000,-6.000,-5.132,-0.868,10.000,-267.442,0.049,-122.105,-4.826,0.000,-126.931
4644.000,-6.000,-5.546,-0.454,10.000,-271.984,0.041,-63.859,-4.908,0.000,-68.767
4654.000,-6.000,-5.945,-0.055,10.000,-272.532,0.040,-7.706,-4.918,0.000,-12.624
4664.000,-6.000,-6.360,0.360,10.000,-268.932,0.041,50.615,-4.853,0.000,45.761
4674.000,-6.000,-6.754,0.754,10.000,-261.391,0.039,106.029,-4.717,0.000,101.312
4684.000,-6.000,-7.094,1.094,10.000,-250.454,0.034,153.767,-4.520,0.000,149.248
4694.000,-6.000,-7.352,1.352,10.000,-236.930,0.026,190.140,-4.276,0.000,185.864
4704.000,-6.000,-7.276,1.276,10.000,-224.167,-0.008,179.449,-4.045,-0.000,175.404
4714.000,-6.000,-6.761,0.761,10.000,-216.560,-0.052,106.953,-3.908,-0.000,103.045
4724.000,-6.000,-6.114,0.114,10.000,-215.416,-0.065,16.086,-3.887,-0.000,12.199
4734.000,-6.000,-5.561,-0.439,10.000,-219.810,-0.055,-61.787,-3.967,-0.000,-65.753
4744.000,-6.000,-5.126,-0.874,10.000,-228.550,-0.043,-122.886,-4.124,-0.000,-127.011
4754.000,-6.000,-4.919,-1.081,10.000,-239.360,-0.021,-151.978,-4.319,-0.000,-156.297
4764.000,-6.000,-4.839,-1.161,10.000,-250.973,-0.008,-163.272,-4.529,-0.000,-167.801
4774.000,-6.000,-4.784,-1.216,10.000,-263.132,-0.005,-170.956,-4.748,-0.000,-175.705
4784.000,-6.000,-4.715,-1.285,10.000,-275.978,-0.007,-180.607,-4.980,-0.000,-185.588
4794.000,-6.000,-4.640,-1.360,10.000,-289.574,-0.008,-191.152,-5.226,-0.000,-196.378
4804.000,-6.000,-4.565,-1.435,10.000,-303.924,-0.008,-201.760,-5.485,-0.000,-207.244
4814.000,-6.000,-4.446,-1.554,10.000,-319.468,-0.012,-218.542,-5.765,-0.000,-224.307
4824.000,-6.000,-4.234,-1.766,10.000,-337.127,-0.021,-248.286,-6.084,-0.000,-254.370
4834.000,-6.000,-4.016,-1.984,10.000,-356.971,-0.022,-278.994,-6.442,-0.000,-285.436
4844.000,-6.000,-3.812,-2.188,10.000,-378.854,-0.020,-307.673,-6.837,-0.000,-314.510
4854.000,-6.000,-3.636,-2.364,10.000,-402.499,-0.018,-332.439,-7.263,-0.000,-339.702
4864.000,-6.000,-3.577,-2.423,10.000,-426.727,-0.006,-340.640,-7.701,-0.000,-348.340
4874.000,-6.000,-3.880,-2.120,10.000,-447.927,0.030,-298.068,-8.083,0.000,-306.151
4884.000,-6.000,-4.429,-1.571,10.000,-463.635,0.055,-220.846,-8.367,0.000,-229.213
4894.000,-6.000,-4.990,-1.010,10.000,-473.737,0.056,-142.028,-8.549,0.000,-150.577
4904.000,-6.000,-5.536,-0.464,10.000,-478.374,0.055,-65.192,-8.633,0.000,-73.824
4914.000,-6.000,-6.020,0.020,10.000,-478.172,0.048,2.831,-8.629,0.000,-5.798
4924.000,-6.000,-6.470,0.470,10.000,-473.469,0.045,66.126,-8.544,0.000,57.582
4934.000,-6.000,-6.821,0.821,10.000,-465.256,0.035,115.477,-8.396,0.000,107.081
4944.000,-6.000,-7.080,1.080,10.000,-454.457,0.026,151.823,-8.201,0.000,143.621
4954.000,-6.000,-7.119,1.119,10.000,-443.270,0.004,157.295,-7.999,0.000,149.295
4964.000,-6.000,-6.996,0.996,10.000,-433.312,-0.012,140.001,-7.820,-0.000,132.182
4975.000,-6.000,-6.803,0.803,11.000,-424.477,-0.018,112.930,-7.660,-0.000,105.270
4984.000,-6.000,-6.542,0.542,9.000,-419.597,-0.029,76.229,-7.572,-0.000,68.657
4994.000,-6.000,-6.185,0.185,10.000,-417.745,-0.036,26.036,-7.539,-0.000,18.497
5005.000,-6.000,-5.816,-0.184,11.000,-419.772,-0.034,-25.911,-7.575,-0.000,-33.487
5014.000,-6.000,-5.521,-0.479,9.000,-424.080,-0.033,-67.297,-7.653,-0.000,-74.950
5024.000,-6.000,-5.319,-0.681,10.000,-430.895,-0.020,-95.810,-7.776,-0.000,-103.586
5034.000,-6.000,-5.250,-0.750,10.000,-438.391,-0.007,-105.388,-7.911,-0.000,-113.300
5045.000,-6.000,-5.240,-0.760,11.000,-446.752,-0.001,-106.874,-8.062,-0.000,-114.936
5054.000,-6.000,-5.227,-0.773,9.000,-453.707,-0.001,-108.650,-8.188,-0.000,-116.838
5064.000,-6.000,-5.234,-0.766,10.000,-461.363,0.001,-107.643,-8.326,0.000,-115.969
5074.000,-6.000,-5.247,-0.753,10.000,-468.889,0.001,-105.804,-8.462,0.000,-114.265
5085.000,-6.000,-5.226,-0.774,11.000,-477.401,-0.002,-108.801,-8.615,-0.000,-117.416
5095.000,-6.000,-5.177,-0.823,10.000,-485.628,-0.005,-115.670,-8.764,-0.000,-124.434
5105.000,-6.000,-5.107,-0.893,10.000,-494.560,-0.007,-125.570,-8.925,-0.000,-134.495
5115.000,-6.000,-5.043,-0.957,10.000,-504.131,-0.006,-134.569,-9.098,-0.000,-143.667
5125.000,-6.000,-4.986,-1.014,10.000,-514.268,-0.006,-142.531,-9.280,-0.000,-151.812
5135.000,-6.000,-4.965,-1.035,10.000,-524.622,-0.002,-145.575,-9.467,-0.000,-155.042
5145.000,-6.000,-4.964,-1.036,10.000,-534.982,-0.000,-145.651,-9.654,-0.000,-155.305
5155.000,-6.000,-4.971,-1.029,10.000,-545.273,0.001,-144.695,-9.840,0.000,-154.535
5165.000,-6.000,-4.985,-1.015,10.000,-555.428,0.001,-142.771,-10.023,0.000,-152.794
5175.000,-6.000,-4.992,-1.008,10.000,-565.512,0.001,-141.781,-10.205,0.000,-151.986
5185.000,-6.000,-5.027,-0.973,10.000,-575.247,0.003,-136.869,-10.381,0.000,-147.249
5195.000,-6.000,-5.062,-0.938,10.000,-584.632,0.004,-131.943,-10.550,0.000,-142.493
5205.000,-6.000,-5.111,-0.889,10.000,-593.525,0.005,-125.044,-10.711,0.000,-135.755
5215.000,-6.000,-5.153,-0.847,10.000,-602.000,0.004,-119.149,-10.864,0.000,-130.013
5225.000,-6.000,-5.195,-0.805,10.000,-610.052,0.004,-113.212,-11.009,0.000,-124.221
5235.000,-6.000,-5.230,-0.770,10.000,-617.757,0.003,-108.328,-11.148,0.000,-119.476
5245.000,-6.000,-5.258,-0.742,10.000,-625.182,0.003,-104.389,-11.282,0.000,-115.671
5255.000,-6.000,-5.271,-0.729,10.000,-632.469,0.001,-102.460,-11.414,0.000,-113.873
5265.000,-6.000,-5.271,-0.729,10.000,-639.756,0.000,-102.452,-11.545,0.000,-113.997
5275.000,-6.000,-5.250,-0.750,10.000,-647.252,-0.002,-105.385,-11.680,-0.000,-117.065
5285.000,-6.000,-5.215,-0.785,10.000,-655.103,-0.004,-110.383,-11.822,-0.000,-122.205
5295.000,-6.000,-5.180,-0.820,10.000,-663.306,-0.004,-115.337,-11.970,-0.000,-127.307
5305.000,-6.000,-5.102,-0.898,10.000,-672.282,-0.008,-126.201,-12.132,-0.000,-138.333
5315.000,-6.000,-5.004,-0.996,10.000,-682.244,-0.010,-140.063,-12.312,-0.000,-152.374
5325.000,-6.000,-4.912,-1.088,10.000,-693.119,-0.009,-152.899,-12.508,-0.000,-165.407
5335.000,-6.000,-4.807,-1.193,10.000,-705.048,-0.011,-167.720,-12.723,-0.000,-180.443
5345.000,-6.000,-4.695,-1.305,10.000,-718.098,-0.011,-183.478,-12.959,-0.000,-196.436
5355.000,-6.000,-4.569,-1.431,10.000,-732.411,-0.013,-201.235,-13.217,-0.000,-214.452
5365.000,-6.000,-4.442,-1.558,10.000,-747.988,-0.013,-218.998,-13.498,-0.000,-232.496
5375.000,-6.000,-4.316,-1.684,10.000,-764.827,-0.013,-236.760,-13.802,-0.000,-250.562
5385.000,-6.000,-4.183,-1.817,10.000,-783.002,-0.013,-255.534,-14.130,-0.000,-269.664
5395.000,-6.000,-4.049,-1.951,10.000,-802.511,-0.013,-274.293,-14.482,-0.000,-288.775
5405.000,-6.000,-3.943,-2.057,10.000,-823.077,-0.011,-289.153,-14.853,-0.000,-304.006
5415.000,-6.000,-3.934,-2.066,10.000,-843.739,-0.001,-290.488,-15.226,-0.000,-305.714
5425.000,-6.000,-4.078,-1.922,10.000,-862.957,0.014,-270.207,-15.573,0.000,-285.780
5435.000,-6.000,-4.385,-1.615,10.000,-879.105,0.031,-227.030,-15.864,0.000,-242.894
5445.000,-6.000,-4.757,-1.243,10.000,-891.533,0.037,-174.745,-16.089,0.000,-190.833
5455.000,-6.000,-5.136,-0.864,10.000,-900.176,0.038,-121.518,-16.245,0.000,-137.762
5465.000,-6.000,-5.492,-0.508,10.000,-905.260,0.036,-71.467,-16.336,0.000,-87.803
5475.000,-6.000,-5.805,-0.195,10.000,-907.206,0.031,-27.367,-16.371,0.000,-43.738
